TimeStamp	Players	Court	next	serwis	player A	player B	player A2	player B2	x6	x5	z5	z6	ax7	x4	x3	a7	a8	a9	TV placeholder	Net-ERROR	
1	A	x6	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
2	B	a8	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
3	B2	z5	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
